Ensembl_ID,Gene_symbol,Log_FoldChange,logCPM,PValue,FDR_adjusted_P.value,Power,BCOV
ENSG00000229058,AGER,-4.268,3.105,3.95E-51,3.86E-47,1,0.7
ENSG00000237405,AGER,-4.27,3.105,3.63E-51,3.86E-47,1,0.7
ENSG00000206320,AGER,-4.27,3.105,4.29E-51,3.86E-47,1,0.701
ENSG00000231268,AGER,-4.729,2.763,1.52E-49,8.52E-46,1,0.806
ENSG00000230514,AGER,-4.729,2.764,1.58E-49,8.52E-46,1,0.807
ENSG00000204305,AGER,-4.09,2.402,7.94E-48,3.57E-44,1,0.677
ENSG00000108576,SLC6A4,-4.988,4.896,9.92E-44,3.82E-40,1,0.932
ENSG00000234729,AGER,-4.233,2.942,1.98E-40,6.66E-37,1,0.787
ENSG00000165810,BTNL9,-3.671,5.375,1.04E-33,2.79E-30,1,0.738
ENSG00000213853,EMP2,-2.298,7.509,9.95E-34,2.79E-30,1,0.416
ENSG00000116016,EPAS1,-4.023,7.94,3.50E-29,8.57E-26,1,0.894
ENSG00000099994,SUSD2,-3.973,4.97,6.49E-27,1.39E-23,1,0.916
ENSG00000111275,ALDH2,-2.179,6.513,6.73E-27,1.39E-23,1,0.439
ENSG00000167972,ABCA3,-2.874,6.894,2.33E-26,4.48E-23,1,0.623
ENSG00000066405,CLDN18,-3.939,5.077,2.97E-26,5.34E-23,1,0.92
ENSG00000234876,NOTCH4,-3.936,3.757,1.36E-25,2.29E-22,1,0.929
ENSG00000105974,CAV1,-4.146,5.414,2.96E-25,4.70E-22,1,1.001
ENSG00000096088,PGC,-4.54,4.081,4.72E-25,7.07E-22,1,1.12
ENSG00000157765,SLC34A2,-3.705,6.872,5.39E-25,7.64E-22,1,0.878
ENSG00000131400,NAPSA,-3.457,5.078,1.77E-23,2.38E-20,1,0.831
ENSG00000100906,NFKBIA,-3.206,5.978,1.73E-22,2.22E-19,1,0.776
ENSG00000240583,AQP1,-3.448,5.668,2.06E-22,2.53E-19,1,0.851
ENSG00000144655,CSRNP1,-3.837,5.34,2.80E-22,3.28E-19,1,0.974
ENSG00000168309,FAM107A,-3.72,4.684,4.48E-22,5.03E-19,1,0.942
ENSG00000149564,ESAM,-3.162,4.296,5.69E-22,6.13E-19,1,0.769
ENSG00000170989,S1PR1,-3.603,3.977,7.81E-22,8.10E-19,1,0.907
ENSG00000168907,PLA2G4F,-4.011,5.361,1.70E-21,1.70E-18,1,1.049
ENSG00000114812,VIPR1,-3.382,4.927,5.09E-21,4.90E-18,1,0.859
ENSG00000168497,CAVIN2,-4.11,4.552,8.30E-21,7.71E-18,1,1.101
ENSG00000127954,STEAP4,-2.783,5.488,1.86E-20,1.67E-17,1,0.686
ENSG00000135063,FAM189A2,-3.216,3.33,2.56E-20,2.23E-17,1,0.814
ENSG00000126458,RRAS,-3.327,3.407,5.32E-20,4.48E-17,1,0.86
ENSG00000127329,PTPRB,-3.274,6.006,9.89E-20,8.07E-17,1,0.857
ENSG00000179776,CDH5,-3.319,4.842,3.74E-19,2.96E-16,1,0.884
ENSG00000169031,COL4A3,-3.053,4.71,5.17E-19,3.98E-16,1,0.801
ENSG00000115306,SPTBN1,-2.338,9.037,8.20E-19,6.14E-16,1,0.583
ENSG00000283243,SHANK3,-3.796,5.141,9.12E-19,6.64E-16,1,1.057
ENSG00000111452,ADGRD1,-3.147,5.806,1.29E-18,9.16E-16,1,0.842
ENSG00000168484,SFTPC,-5.38,7.534,1.39E-18,9.59E-16,1,1.614
ENSG00000136160,EDNRB,-3.593,3.474,2.57E-18,1.73E-15,1,0.995
ENSG00000171992,SYNPO,-2.611,6.592,6.00E-18,3.94E-15,1,0.683
ENSG00000072163,LIMS2,-3.507,4.887,6.65E-18,4.26E-15,1,0.983
ENSG00000078401,EDN1,-3.974,3.023,7.14E-18,4.47E-15,1,1.144
ENSG00000148677,ANKRD1,-4.13,2.356,1.13E-17,6.94E-15,1,1.203
ENSG00000139318,DUSP6,-3.176,4.99,1.66E-17,9.93E-15,1,0.88
ENSG00000069122,ADGRF5,-2.902,6.514,1.84E-17,1.08E-14,1,0.79
ENSG00000185303,SFTPA2,-4.848,8.955,2.36E-17,1.35E-14,1,1.487
ENSG00000124920,MYRF,-2.817,5.153,2.72E-17,1.53E-14,1,0.763
ENSG00000163492,CCDC141,-3.124,5.266,3.42E-17,1.88E-14,1,0.871
ENSG00000131471,AOC3,-3.576,4.772,4.13E-17,2.23E-14,1,1.033
ENSG00000090339,ICAM1,-3.842,5.609,4.61E-17,2.39E-14,1,1.131
ENSG00000100234,TIMP3,-3.28,7.482,4.59E-17,2.39E-14,1,0.932
ENSG00000139567,ACVRL1,-3.084,4.686,4.73E-17,2.40E-14,1,0.86
ENSG00000122852,SFTPA1,-4.868,8.471,5.13E-17,2.56E-14,1,1.511
ENSG00000163513,TGFBR2,-3.305,5.627,5.95E-17,2.91E-14,1,0.943
ENSG00000174804,FZD4,-2.092,5.455,6.85E-17,3.29E-14,1,0.539
ENSG00000076067,RBMS2,-2.263,6.428,7.16E-17,3.39E-14,1,0.594
ENSG00000006210,CX3CL1,-3.193,4.582,9.92E-17,4.61E-14,1,0.907
ENSG00000111859,NEDD9,-2.567,6.259,1.06E-16,4.85E-14,1,0.696
ENSG00000137507,LRRC32,-3.068,4.657,1.40E-16,6.26E-14,1,0.867
ENSG00000184012,TMPRSS2,-3.161,4.373,1.58E-16,6.99E-14,1,0.902
ENSG00000142973,CYP4B1,-3.468,4.018,2.13E-16,9.27E-14,1,1.016
ENSG00000130164,LDLR,-1.898,6.369,5.92E-16,2.53E-13,1,0.496
ENSG00000125810,CD93,-2.686,5.952,6.20E-16,2.61E-13,1,0.755
ENSG00000107719,PALD1,-2.244,4.567,6.83E-16,2.83E-13,1,0.603
ENSG00000078081,LAMP3,-2.973,5.811,7.46E-16,3.04E-13,1,0.859
ENSG00000171388,APLN,-3.55,3.777,8.52E-16,3.42E-13,1,1.069
ENSG00000103811,CTSH,-2.951,5.213,1.07E-15,4.25E-13,1,0.854
ENSG00000105339,DENND3,-1.839,6.459,1.13E-15,4.41E-13,1,0.482
ENSG00000115602,IL1RL1,-3.427,4.329,1.82E-15,7.00E-13,1,1.037
ENSG00000043591,ADRB1,-2.997,2.514,2.66E-15,1.01E-12,1,0.868
ENSG00000138821,SLC39A8,-3.085,4.521,3.07E-15,1.15E-12,1,0.918
ENSG00000147526,TACC1,-2.338,7.212,3.42E-15,1.26E-12,1,0.656
ENSG00000124145,SDC4,-2.649,5.294,4.76E-15,1.73E-12,1,0.766
ENSG00000143878,RHOB,-2.626,6.194,4.91E-15,1.76E-12,1,0.759
ENSG00000154133,ROBO4,-3.048,4.6,5.06E-15,1.79E-12,1,0.911
ENSG00000031081,ARHGAP31,-2.911,5.586,5.14E-15,1.80E-12,1,0.862
ENSG00000276184,UPK3B,-2.686,3.887,6.57E-15,2.27E-12,1,0.778
ENSG00000211445,GPX3,-2.877,5.899,7.72E-15,2.63E-12,1,0.855
ENSG00000137857,DUOX1,-2.069,6.243,8.07E-15,2.72E-12,1,0.573
ENSG00000241644,INMT,-2.381,4.891,8.44E-15,2.81E-12,1,0.677
ENSG00000064999,ANKS1A,-1.866,5.976,1.14E-14,3.75E-12,1,0.509
ENSG00000138772,ANXA3,-3.039,3.597,1.35E-14,4.38E-12,1,0.92
ENSG00000133661,SFTPD,-3.842,3.588,1.54E-14,4.95E-12,1,1.233
ENSG00000176435,CLEC14A,-3.203,3.017,1.59E-14,5.05E-12,1,0.979
ENSG00000110799,VWF,-2.698,6.773,1.62E-14,5.08E-12,1,0.801
ENSG00000169252,ADRB2,-3.265,2.808,1.92E-14,5.95E-12,1,1.007
ENSG00000100413,POLR3H,-1.879,5.412,2.21E-14,6.76E-12,1,0.518
ENSG00000188783,PRELP,-2.231,5.856,2.41E-14,7.30E-12,1,0.639
ENSG00000143416,SELENBP1,-2.614,4.809,2.59E-14,7.75E-12,1,0.774
ENSG00000179094,PER1,-2.54,6.547,2.93E-14,8.66E-12,1,0.751
ENSG00000079308,TNS1,-2.365,8.069,3.15E-14,9.22E-12,1,0.691
ENSG00000142748,FCN3,-4.738,2.214,3.51E-14,1.02E-11,1,1.609
ENSG00000105971,CAV2,-2.711,4.691,3.63E-14,1.04E-11,1,0.814
ENSG00000156966,B3GNT7,-2.588,4.007,3.68E-14,1.04E-11,1,0.765
ENSG00000102760,RGCC,-3.565,4.139,4.60E-14,1.29E-11,1,1.149
ENSG00000244734,HBB,-4.471,4.92,5.78E-14,1.61E-11,1,1.523
ENSG00000165507,C10orf10,-2.871,6.689,6.52E-14,1.79E-11,1,0.886
ENSG00000131018,SYNE1,-2.167,7.633,6.79E-14,1.85E-11,1,0.629
ENSG00000070404,FSTL3,-2.867,3.56,8.44E-14,2.27E-11,1,0.88
ENSG00000109906,ZBTB16,-2.975,6.765,9.10E-14,2.43E-11,1,0.932
ENSG00000204301,NOTCH4,-3.104,2.765,9.87E-14,2.61E-11,1,0.973
ENSG00000121068,TBX2,-2.803,4.837,1.14E-13,2.98E-11,1,0.866
ENSG00000164023,SGMS2,-2.851,3.989,1.19E-13,3.08E-11,1,0.884
ENSG00000129538,RNASE1,-3.523,4.751,1.40E-13,3.59E-11,1,1.156
ENSG00000198873,GRK5,-2.408,4.414,1.50E-13,3.81E-11,1,0.722
ENSG00000178038,ALS2CL,-2.851,4.963,1.67E-13,4.21E-11,1,0.892
ENSG00000168874,ATOH8,-3.229,4.016,1.70E-13,4.23E-11,1,1.039
ENSG00000179820,MYADM,-2.722,6.434,1.75E-13,4.33E-11,1,0.845
ENSG00000124570,SERPINB6,-2.289,4.742,1.82E-13,4.46E-11,1,0.681
ENSG00000119280,C1orf198,-1.842,5.354,2.13E-13,5.17E-11,1,0.527
ENSG00000119535,CSF3R,-2.561,5.43,2.66E-13,6.39E-11,1,0.789
ENSG00000135048,TMEM2,-2.012,6.184,2.72E-13,6.49E-11,1,0.589
ENSG00000123146,ADGRE5,-2.534,5.04,2.88E-13,6.80E-11,1,0.778
ENSG00000235696,C2,-2.961,1.756,2.94E-13,6.89E-11,1,0.918
ENSG00000268388,FENDRR,-3.446,4.657,3.43E-13,7.97E-11,1,1.144
ENSG00000110328,GALNT18,-2.762,3.999,3.63E-13,8.35E-11,1,0.867
ENSG00000132170,PPARG,-2.837,3.149,3.71E-13,8.47E-11,1,0.892
ENSG00000184347,SLIT3,-2.355,5.584,3.93E-13,8.90E-11,1,0.717
ENSG00000188906,LRRK2,-3.201,5.846,4.15E-13,9.32E-11,1,1.049
ENSG00000184113,CLDN5,-3.05,3.458,4.31E-13,9.51E-11,1,0.981
ENSG00000008853,RHOBTB2,-1.843,6.045,4.30E-13,9.51E-11,1,0.535
ENSG00000182795,C1orf116,-2.786,4.798,4.49E-13,9.76E-11,1,0.883
ENSG00000164741,DLC1,-2.408,6.043,4.49E-13,9.76E-11,1,0.74
ENSG00000225329,LHFPL3-AS2,-2.913,3.263,5.04E-13,1.09E-10,1,0.931
ENSG00000137834,SMAD6,-2.92,3.994,6.02E-13,1.29E-10,1,0.937
ENSG00000068001,HYAL2,-2.417,4.698,6.09E-13,1.29E-10,1,0.743
ENSG00000161638,ITGA5,-2.275,5.91,6.37E-13,1.34E-10,1,0.694
ENSG00000136155,SCEL,-3.859,2.579,7.16E-13,1.49E-10,1,1.33
ENSG00000006534,ALDH3B1,-2.123,5.023,7.86E-13,1.63E-10,1,0.639
ENSG00000112902,SEMA5A,-2.509,5.958,1.04E-12,2.15E-10,1,0.79
ENSG00000107438,PDLIM1,-2.205,5.173,1.07E-12,2.19E-10,1,0.675
ENSG00000168481,LGI3,-4.239,2.506,1.41E-12,2.85E-10,1,1.512
ENSG00000124942,AHNAK,-2.989,9.26,1.45E-12,2.92E-10,1,0.988
ENSG00000135218,CD36,-2.8,4.329,1.46E-12,2.92E-10,1,0.909
ENSG00000106991,ENG,-2.388,5.01,1.69E-12,3.34E-10,1,0.749
ENSG00000206465,SFTA2,-5.063,-0.363,1.74E-12,3.41E-10,1,1.873
ENSG00000237814,SFTA2,-5.063,-0.363,1.75E-12,3.41E-10,1,1.873
ENSG00000137693,YAP1,-2.614,4.916,1.78E-12,3.42E-10,1,0.838
ENSG00000013588,GPRC5A,-2.304,8.266,1.78E-12,3.42E-10,1,0.721
ENSG00000086544,ITPKC,-2.845,5.133,1.82E-12,3.47E-10,1,0.932
ENSG00000169429,CXCL8,-3.823,2.686,2.00E-12,3.80E-10,1,1.335
ENSG00000267519,LOC284454,-2.73,5.336,2.04E-12,3.85E-10,1,0.887
ENSG00000277263,HLA-DRA,-7.389,1.783,2.36E-12,4.42E-10,1,2.853
ENSG00000153446,C16orf89,-3.44,3.246,2.38E-12,4.43E-10,1,1.183
ENSG00000027697,IFNGR1,-2.308,3.907,2.65E-12,4.88E-10,1,0.723
ENSG00000144791,LIMD1,-1.373,6.741,2.75E-12,5.03E-10,1,0.395
ENSG00000140044,JDP2,-2.418,4.304,3.02E-12,5.50E-10,1,0.768
ENSG00000128052,KDR,-2.555,4.052,4.14E-12,7.48E-10,1,0.828
ENSG00000214013,GANC,-2.086,5.698,4.49E-12,8.07E-10,1,0.65
ENSG00000260314,MRC1,-3.2,4.146,5.04E-12,8.92E-10,1,1.099
ENSG00000018280,SLC11A1,-2.276,5.506,5.07E-12,8.92E-10,1,0.723
ENSG00000087074,PPP1R15A,-1.997,5.918,5.01E-12,8.92E-10,1,0.618
ENSG00000165757,KIAA1462,-2.008,6.016,5.16E-12,9.03E-10,1,0.623
ENSG00000007402,CACNA2D2,-2.816,5.83,5.42E-12,9.42E-10,1,0.942
ENSG00000121671,CRY2,-1.724,5.126,6.60E-12,1.14E-09,1,0.52
ENSG00000213949,ITGA1,-2.179,6.014,7.17E-12,1.23E-09,1,0.693
ENSG00000277494,GPIHBP1,-3.896,2.365,7.36E-12,1.26E-09,1,1.412
ENSG00000175866,BAIAP2,-2.058,5.319,8.03E-12,1.36E-09,1,0.647
ENSG00000177469,CAVIN1,-2.496,5.732,8.23E-12,1.39E-09,1,0.819
ENSG00000135604,STX11,-3.226,2.276,8.53E-12,1.43E-09,1,1.102
ENSG00000120913,PDLIM2,-2.268,5.765,9.15E-12,1.52E-09,1,0.73
ENSG00000124440,HIF3A,-2.359,6.098,9.52E-12,1.57E-09,1,0.767
ENSG00000047644,WWC3,-1.458,5.907,9.61E-12,1.58E-09,1,0.433
ENSG00000187800,PEAR1,-2.584,4.378,9.78E-12,1.60E-09,1,0.854
ENSG00000198959,TGM2,-2.39,6.408,1.10E-11,1.79E-09,1,0.782
ENSG00000170190,SLC16A5,-2.462,2.922,1.19E-11,1.92E-09,1,0.799
ENSG00000131981,LGALS3,-2.196,3.641,1.70E-11,2.72E-09,1,0.703
ENSG00000101265,RASSF2,-2.12,4.975,1.72E-11,2.75E-09,1,0.681
ENSG00000125740,FOSB,-3.375,8.066,2.19E-11,3.47E-09,1,1.217
ENSG00000103196,CRISPLD2,-2.195,6.169,2.43E-11,3.82E-09,1,0.717
ENSG00000140092,FBLN5,-3.267,4.324,2.66E-11,4.16E-09,1,1.172
ENSG00000119655,NPC2,-2.319,4.145,3.15E-11,4.90E-09,1,0.766
ENSG00000121691,CAT,-2.084,4.038,3.27E-11,5.06E-09,1,0.674
ENSG00000136960,ENPP2,-2.79,4.125,3.29E-11,5.06E-09,1,0.965
ENSG00000095370,SH2D3C,-2.493,4.126,3.68E-11,5.60E-09,1,0.841
ENSG00000107738,VSIR,-2.706,4.729,3.68E-11,5.60E-09,1,0.933
ENSG00000010319,SEMA3G,-3.258,3.069,3.80E-11,5.73E-09,1,1.171
ENSG00000136156,ITM2B,-2.312,6.24,3.80E-11,5.73E-09,1,0.773
ENSG00000172602,RND1,-2.488,3.865,4.01E-11,6.00E-09,1,0.839
ENSG00000115361,ACADL,-2.577,2.92,4.10E-11,6.11E-09,1,0.874
ENSG00000081052,COL4A4,-2.285,4.532,4.41E-11,6.53E-09,1,0.761
ENSG00000144063,MALL,-2.398,4.24,4.97E-11,7.32E-09,1,0.807
ENSG00000197324,LRP10,-1.796,5.701,5.13E-11,7.52E-09,1,0.574
ENSG00000196352,CD55,-2.403,5.518,5.36E-11,7.80E-09,1,0.815
ENSG00000117114,ADGRL2,-1.885,5.769,5.76E-11,8.34E-09,1,0.61
ENSG00000134917,ADAMTS8,-3.161,2.28,5.85E-11,8.38E-09,1,1.135
ENSG00000114737,CISH,-2.596,3.353,5.83E-11,8.38E-09,1,0.888
ENSG00000102854,MSLN,-4.41,2.416,5.95E-11,8.48E-09,1,1.724
ENSG00000067082,KLF6,-2.302,7.364,5.98E-11,8.48E-09,1,0.777
ENSG00000158764,ITLN2,-4.444,0.997,6.28E-11,8.85E-09,1,1.734
ENSG00000179593,ALOX15B,-3.557,3.457,6.83E-11,9.58E-09,1,1.328
ENSG00000143382,ADAMTSL4,-2.183,5.674,7.44E-11,1.04E-08,1,0.73
ENSG00000171115,GIMAP8,-2.479,3.648,7.54E-11,1.05E-08,1,0.85
ENSG00000164120,HPGD,-3.589,2.66,7.83E-11,1.08E-08,1,1.343
ENSG00000166482,MFAP4,-3.174,5.908,9.35E-11,1.28E-08,1,1.165
ENSG00000151718,WWC2,-2.326,4.629,9.73E-11,1.33E-08,1,0.793
ENSG00000161921,CXCL16,-2.281,4.321,1.00E-10,1.36E-08,1,0.772
ENSG00000111077,TNS2,-1.903,6.443,1.03E-10,1.40E-08,1,0.626
ENSG00000064666,CNN2,-2.115,5.355,1.08E-10,1.45E-08,1,0.709
ENSG00000111961,SASH1,-2.212,5.347,1.08E-10,1.45E-08,1,0.749
ENSG00000119138,KLF9,-2.667,5.319,1.10E-10,1.47E-08,1,0.942
ENSG00000088387,DOCK9,-2.099,7.066,1.14E-10,1.52E-08,1,0.706
ENSG00000174640,SLCO2A1,-2.978,5.266,1.31E-10,1.73E-08,1,1.085
ENSG00000118689,FOXO3,-1.536,6.954,1.31E-10,1.73E-08,1,0.49
ENSG00000118503,TNFAIP3,-2.4,5.762,1.66E-10,2.17E-08,1,0.836
ENSG00000112576,CCND3,-1.87,5.137,1.67E-10,2.18E-08,1,0.617
ENSG00000197249,SERPINA1,-2.993,4.639,1.72E-10,2.23E-08,1,1.097
ENSG00000067182,TNFRSF1A,-2.057,5.282,1.80E-10,2.32E-08,1,0.694
ENSG00000146648,EGFR,-2.06,6.067,1.81E-10,2.32E-08,1,0.697
ENSG00000171476,HOPX,-2.337,4.903,2.22E-10,2.82E-08,1,0.814
ENSG00000196616,ADH1B,-3.01,5.099,2.21E-10,2.82E-08,1,1.112
ENSG00000103335,PIEZO1,-2.127,6.199,2.23E-10,2.83E-08,1,0.728
ENSG00000120129,DUSP1,-2.826,6.728,2.43E-10,3.06E-08,1,1.033
ENSG00000129250,KIF1C,-1.967,6.179,2.52E-10,3.15E-08,1,0.665
ENSG00000265972,TXNIP,-2.198,7.737,2.52E-10,3.15E-08,1,0.761
ENSG00000103241,FOXF1,-3.202,2.895,2.69E-10,3.34E-08,1,1.2
ENSG00000160789,LMNA,-2.057,6.633,2.73E-10,3.38E-08,1,0.703
ENSG00000081041,CXCL2,-3.545,4.252,2.79E-10,3.44E-08,1,1.369
ENSG00000180644,PRF1,-2.877,2.727,3.07E-10,3.74E-08,1,1.052
ENSG00000174282,ZBTB4,-1.734,6.215,3.06E-10,3.74E-08,1,0.575
ENSG00000003402,CFLAR,-1.324,9.114,3.17E-10,3.85E-08,1,0.423
ENSG00000112782,CLIC5,-2.963,4.996,3.35E-10,4.04E-08,1,1.102
ENSG00000152661,GJA1,-2.384,3.927,3.37E-10,4.05E-08,1,0.841
ENSG00000163909,HEYL,-2.055,4.808,3.49E-10,4.18E-08,1,0.704
ENSG00000110651,CD81,-1.88,6.317,3.55E-10,4.23E-08,1,0.635
ENSG00000113555,PCDH12,-2.211,4.221,3.60E-10,4.28E-08,1,0.769
ENSG00000008517,IL32,-2.159,4.619,3.68E-10,4.35E-08,1,0.747
ENSG00000178726,THBD,-2.95,3.501,4.01E-10,4.72E-08,1,1.096
ENSG00000123342,MMP19,-3.122,5.707,4.15E-10,4.86E-08,1,1.184
ENSG00000137393,RNF144B,-2.4,4.406,4.18E-10,4.88E-08,1,0.853
ENSG00000159840,ZYX,-2.215,5.685,4.33E-10,5.02E-08,1,0.776
ENSG00000175445,LPL,-2.443,4.364,4.57E-10,5.27E-08,1,0.874
ENSG00000168878,SFTPB,-3.496,9.62,4.58E-10,5.27E-08,1,1.368
ENSG00000169583,CLIC3,-3.548,1.018,4.85E-10,5.56E-08,1,1.362
ENSG00000173706,HEG1,-2.08,6.318,5.15E-10,5.87E-08,1,0.724
ENSG00000021355,SERPINB1,-1.795,5.104,5.51E-10,6.27E-08,1,0.606
ENSG00000071282,LMCD1,-2.207,5.475,5.57E-10,6.30E-08,1,0.778
ENSG00000157554,ERG,-2.257,4.378,5.60E-10,6.31E-08,1,0.798
ENSG00000077238,IL4R,-2.472,5.463,5.67E-10,6.37E-08,1,0.894
ENSG00000110195,FOLR1,-3.677,2.693,6.02E-10,6.70E-08,1,1.458
ENSG00000173546,CSPG4,-2.031,5.104,6.02E-10,6.70E-08,1,0.704
ENSG00000187678,SPRY4,-2.245,5.686,6.19E-10,6.86E-08,1,0.797
ENSG00000162367,TAL1,-2.486,3.542,6.65E-10,7.31E-08,1,0.9
ENSG00000154783,FGD5,-2.201,4.433,6.63E-10,7.31E-08,1,0.776
ENSG00000184557,SOCS3,-2.766,5.67,6.98E-10,7.65E-08,1,1.032
ENSG00000120156,TEK,-3.071,3.239,7.06E-10,7.69E-08,1,1.172
ENSG00000156675,RAB11FIP1,-2.098,6.836,7.09E-10,7.70E-08,1,0.739
ENSG00000115183,TANC1,-1.715,6.159,7.12E-10,7.70E-08,1,0.58
ENSG00000074527,NTN4,-2.829,4.085,7.27E-10,7.83E-08,1,1.061
ENSG00000022267,FHL1,-2.504,5.336,7.49E-10,8.04E-08,1,0.916
ENSG00000173376,NDNF,-3.004,3.809,7.57E-10,8.10E-08,1,1.145
ENSG00000133121,STARD13,-2.329,4.482,8.03E-10,8.55E-08,1,0.837
ENSG00000163815,CLEC3B,-3.882,2.294,8.51E-10,9.03E-08,1,1.568
ENSG00000171056,SOX7,-2.277,3.614,8.81E-10,9.27E-08,1,0.812
ENSG00000103966,EHD4,-1.671,4.422,8.80E-10,9.27E-08,1,0.561
ENSG00000185499,MUC1,-2.035,5.989,9.06E-10,9.50E-08,1,0.716
ENSG00000148841,ITPRIP,-2.064,5.563,9.17E-10,9.57E-08,1,0.727
ENSG00000099875,MKNK2,-1.642,6.307,9.41E-10,9.79E-08,1,0.555
ENSG00000136826,KLF4,-2.54,4.852,9.49E-10,9.83E-08,1,0.935
ENSG00000162551,ALPL,-3.18,4.331,9.74E-10,1.01E-07,1,1.237
ENSG00000207870,MIR221,-4.836,-1.356,1.05E-09,1.08E-07,1,2.156
ENSG00000109686,SH3D19,-2.31,5.41,1.05E-09,1.08E-07,1,0.837
ENSG00000024422,EHD2,-2.069,5.486,1.15E-09,1.17E-07,1,0.734
ENSG00000042062,RIPOR3,-2.293,3.516,1.16E-09,1.18E-07,1,0.824
ENSG00000158352,SHROOM4,-2.04,6.235,1.36E-09,1.37E-07,1,0.726
ENSG00000197077,KIAA1671,-1.453,6.115,1.57E-09,1.58E-07,1,0.489
ENSG00000114378,HYAL1,-2.094,3.159,1.62E-09,1.63E-07,1,0.739
ENSG00000241839,PLEKHO2,-2.096,4.471,1.64E-09,1.64E-07,1,0.75
ENSG00000047648,ARHGAP6,-3,3.014,1.68E-09,1.68E-07,1,1.163
ENSG00000035664,DAPK2,-1.821,5.291,1.70E-09,1.69E-07,1,0.637
ENSG00000008311,AASS,-2.138,4.146,1.77E-09,1.75E-07,1,0.77
ENSG00000175899,A2M,-2.73,7.711,1.84E-09,1.81E-07,1,1.044
ENSG00000188549,C15orf52,-2.131,4.653,2.13E-09,2.10E-07,1,0.771
ENSG00000159176,CSRP1,-1.597,6.828,2.14E-09,2.10E-07,1,0.551
ENSG00000119862,LGALSL,-2.257,3.722,2.30E-09,2.24E-07,1,0.827
ENSG00000158467,AHCYL2,-2.278,5.024,2.43E-09,2.37E-07,1,0.842
ENSG00000073712,FERMT2,-1.793,4.965,2.48E-09,2.41E-07,1,0.631
ENSG00000129675,ARHGEF6,-2.048,4.532,2.63E-09,2.54E-07,1,0.74
ENSG00000206372,C2,-2.243,1.178,2.66E-09,2.56E-07,1,0.782
ENSG00000235017,C2,-2.243,1.179,2.68E-09,2.57E-07,1,0.782
ENSG00000139722,VPS37B,-1.433,5.545,2.78E-09,2.66E-07,1,0.487
ENSG00000134109,EDEM1,-1.691,5.203,3.11E-09,2.96E-07,1,0.593
ENSG00000149131,SERPING1,-2.517,5.941,3.17E-09,3.01E-07,1,0.959
ENSG00000226560,C2,-2.202,1.285,3.21E-09,3.03E-07,1,0.773
ENSG00000160209,PDXK,-1.31,6.357,3.31E-09,3.12E-07,1,0.444
ENSG00000155659,VSIG4,-3.1,2.238,3.36E-09,3.16E-07,1,1.232
ENSG00000115756,HPCAL1,-1.678,5.122,3.41E-09,3.19E-07,1,0.588
ENSG00000134690,CDCA8,3.545,4.773,3.71E-09,3.46E-07,1,0.749
ENSG00000172037,LAMB2,-2.04,5.585,3.84E-09,3.57E-07,1,0.746
ENSG00000168487,BMP1,-2.008,5.108,3.90E-09,3.61E-07,1,0.731
ENSG00000147113,CXorf36,-1.788,5.345,4.11E-09,3.79E-07,1,0.639
ENSG00000137486,ARRB1,-1.965,4.986,4.17E-09,3.84E-07,1,0.715
ENSG00000173334,TRIB1,-2.349,5.358,4.22E-09,3.87E-07,1,0.887
ENSG00000037280,FLT4,-2.239,4.752,4.41E-09,4.02E-07,1,0.837
ENSG00000163975,MELTF,3.448,5.638,4.64E-09,4.22E-07,1,0.75
ENSG00000115221,ITGB6,-2.807,3.699,4.67E-09,4.24E-07,1,1.103
ENSG00000107317,PTGDS,-2.401,4.221,4.71E-09,4.26E-07,1,0.911
ENSG00000154065,ANKRD29,-2.794,3.746,4.74E-09,4.27E-07,1,1.1
ENSG00000141338,ABCA8,-2.107,4.696,5.01E-09,4.50E-07,1,0.78
ENSG00000130775,THEMIS2,-2.286,4.937,5.07E-09,4.54E-07,1,0.862
ENSG00000184371,CSF1,-2.133,4.442,5.21E-09,4.65E-07,1,0.791
ENSG00000128016,ZFP36,-2.92,7.977,5.26E-09,4.68E-07,1,1.169
ENSG00000124201,ZNFX1,-1.288,6.12,5.28E-09,4.68E-07,1,0.44
ENSG00000154734,ADAMTS1,-2.51,5.566,5.73E-09,5.06E-07,1,0.972
ENSG00000197747,S100A10,-2.913,3.729,6.44E-09,5.67E-07,1,1.168
ENSG00000064042,LIMCH1,-2.167,6.588,6.71E-09,5.88E-07,1,0.818
ENSG00000221968,FADS3,-1.469,5.664,6.98E-09,6.11E-07,1,0.515
ENSG00000151702,FLI1,-1.627,5.459,7.05E-09,6.15E-07,1,0.58
ENSG00000160867,FGFR4,-2.77,2.52,7.15E-09,6.22E-07,1,1.095
ENSG00000152402,GUCY1A2,-2.015,5.218,7.48E-09,6.48E-07,1,0.75
ENSG00000170776,AKAP13,-1.749,8.37,7.59E-09,6.55E-07,1,0.636
ENSG00000071242,RPS6KA2,-1.767,5.653,7.63E-09,6.56E-07,1,0.641
ENSG00000157510,AFAP1L1,-2.004,4.525,7.65E-09,6.57E-07,1,0.744
ENSG00000018408,WWTR1,-1.995,4.974,8.17E-09,6.98E-07,1,0.742
ENSG00000138162,TACC2,-1.26,6.895,9.40E-09,8.02E-07,1,0.438
ENSG00000047936,ROS1,-3.423,4.664,9.57E-09,8.14E-07,1,1.45
ENSG00000166394,CYB5R2,-2.506,4.551,9.95E-09,8.43E-07,1,0.984
