Ensembl_ID,Gene_symbol,Log_FoldChange,logCPM,PValue,FDR_adjusted_P.value,Power,BCOV
ENSG00000117533,VAMP4,-0.265,3.982,0.469222223,0.716142111,0.349,0.724
ENSG00000009844,VTA1,0.383,4.798,0.469314289,0.716242043,0.568,0.795
ENSG00000123607,TTC21B,-0.208,5.461,0.469391149,0.716318762,0.368,0.563
ENSG00000197251,LINC00336,0.494,2.719,0.469477846,0.716410481,0.577,0.967
ENSG00000085721,RRN3,0.334,3.421,0.469633446,0.716607329,0.503,0.708
ENSG00000105618,PRPF31,-0.31,3.142,0.469797085,0.716816419,0.32,0.882
ENSG00000104679,R3HCC1,-0.265,3.903,0.469875464,0.716895404,0.347,0.725
ENSG00000187857,OR6C75,1.402,-0.906,0.470099529,0.717048888,0.718,2.107
ENSG00000222036,POTEM,1.248,0.906,0.470114524,0.717048888,0.759,2
ENSG00000126249,PDCD2L,-0.442,2.16,0.470153742,0.717048888,0.269,1.419
ENSG00000206140,TMEM191C,0.311,2.946,0.470094257,0.717048888,0.495,0.63
ENSG00000196562,SULF2,-0.293,5.712,0.470075886,0.717048888,0.35,0.834
ENSG00000163728,TTC14,-0.214,6.135,0.470162391,0.717048888,0.374,0.582
ENSG00000114857,NKTR,-0.2,7.879,0.470056267,0.717048888,0.387,0.539
ENSG00000250514,LINC02125,-0.48,0.813,0.470251954,0.717063689,0.235,1.596
ENSG00000179958,DCTPP1,0.459,2.867,0.470245088,0.717063689,0.551,0.928
ENSG00000152409,JMY,-0.229,5.659,0.470217295,0.717063689,0.366,0.628
ENSG00000145949,MYLK4,0.478,2.954,0.470416956,0.717234093,0.569,0.952
ENSG00000111669,TPI1,0.33,6.835,0.470410389,0.717234093,0.564,0.701
ENSG00000165406,8-Mar,-0.226,4.27,0.470495308,0.717312955,0.357,0.603
ENSG00000233802,TRIM49D2,-0.664,-1.046,0.470623516,0.717430619,0.169,2.647
ENSG00000251045,LINC01959,-0.538,0.521,0.470625751,0.717430619,0.219,1.889
ENSG00000266802,MIR4419A,-0.427,0.126,0.470778167,0.717459961,0.225,1.297
ENSG00000223932,GPANK1,0.545,1.719,0.470769053,0.717459961,0.564,1.03
ENSG00000040608,RTN4R,0.679,2.005,0.470736073,0.717459961,0.618,1.271
ENSG00000132464,ENAM,0.441,3.756,0.47069898,0.717459961,0.585,0.881
ENSG00000164896,FASTK,0.314,4.85,0.470751771,0.717459961,0.539,0.669
ENSG00000178814,OPLAH,0.605,3.187,0.470958695,0.717549332,0.615,1.175
ENSG00000282685,FAM83H-AS1,0.248,4.259,0.470927943,0.717549332,0.488,0.538
ENSG00000254139,LOC286178,-0.343,4.696,0.470890284,0.717549332,0.326,1.015
ENSG00000112493,TAPBP,-0.329,4.379,0.470969996,0.717549332,0.331,0.957
ENSG00000166471,TMEM41B,0.264,4.787,0.470964031,0.717549332,0.506,0.577
ENSG00000228661,LOC105376527,1.258,-0.99,0.471243367,0.717792105,0.674,1.909
ENSG00000253953,PCDHGB4,0.541,3.628,0.471246741,0.717792105,0.602,1.071
ENSG00000106868,SUSD1,-0.228,4.373,0.471181443,0.717792105,0.346,0.625
ENSG00000224597,SVIL-AS1,-0.255,5.039,0.471301382,0.717792105,0.356,0.707
ENSG00000233864,TTTY15,-0.242,5.105,0.471230931,0.717792105,0.356,0.67
ENSG00000275338,RAB11FIP3,0.304,5.263,0.471265349,0.717792105,0.543,0.648
ENSG00000130052,STARD8,0.335,5.377,0.47134251,0.717792105,0.554,0.71
ENSG00000196419,XRCC6,0.221,6.266,0.471332106,0.717792105,0.523,0.484
ENSG00000134317,GRHL1,-0.246,3.932,0.471392223,0.717827231,0.347,0.666
ENSG00000206503,HLA-A,-0.502,4.696,0.4714632,0.717894731,0.261,1.716
ENSG00000182898,TCHHL1,-0.569,1.058,0.471551032,0.717987886,0.215,2.1
ENSG00000067248,DHX29,-0.279,4.294,0.471600814,0.718023101,0.337,0.793
ENSG00000221782,MIR548F2,-0.478,0.158,0.471789159,0.718188085,0.222,1.554
ENSG00000164542,KIAA0895,0.343,3.893,0.471780405,0.718188085,0.54,0.711
ENSG00000106266,SNX8,-0.26,4.581,0.471768627,0.718188085,0.349,0.724
ENSG00000207607,MIR200A,1.072,-0.408,0.472050044,0.718544616,0.602,1.87
ENSG00000144036,EXOC6B,-0.208,5.54,0.472090511,0.718565612,0.369,0.563
ENSG00000165995,CACNB2,-0.294,4.576,0.472157225,0.718626551,0.339,0.84
ENSG00000196510,ANAPC7,0.213,6.63,0.47220772,0.7186628,0.521,0.47
ENSG00000236502,SIX3-AS1,1.049,1.212,0.472311155,0.718739007,0.755,1.675
ENSG00000278243,TSTA3,0.304,3.06,0.472308302,0.718739007,0.449,0.67
ENSG00000165699,TSC1,-0.171,6.393,0.472607057,0.71914867,0.381,0.456
ENSG00000047597,XK,0.519,2.481,0.472645404,0.719166397,0.568,1.023
ENSG00000229727,LOC100506274,0.867,1.306,0.472678429,0.719176025,0.669,1.515
ENSG00000102271,KLHL4,-0.385,1.731,0.472753942,0.719209674,0.257,1.221
ENSG00000165688,PMPCA,0.183,4.707,0.472752372,0.719209674,0.464,0.4
ENSG00000176678,FOXL1,0.823,1.567,0.472786808,0.719219055,0.652,1.481
ENSG00000198346,ZNF813,-0.248,4.379,0.472916999,0.719315867,0.345,0.689
ENSG00000164576,SAP30L,0.434,4.536,0.472916622,0.719315867,0.576,0.893
ENSG00000176165,FOXG1,0.789,7.419,0.472930556,0.719315867,0.696,1.448
ENSG00000182934,SRPRA,-0.196,6.313,0.473144496,0.719600634,0.38,0.527
ENSG00000143952,VPS54,0.237,5.133,0.473178031,0.719611009,0.514,0.513
ENSG00000151835,SACS,0.376,5.834,0.47326525,0.71970302,0.571,0.788
ENSG00000234695,LOC105375401,-0.404,1.038,0.473404915,0.719874773,0.266,1.187
ENSG00000225432,LOC105375009,1.691,-1.492,0.473504405,0.71994478,0.782,2.252
